TAIRID	Tissue_specificity
AT1G77830	chalazal.seed.coat
AT3G12960	chalazal.seed.coat
AT2G03130	chalazal.seed.coat
AT4G02910	chalazal.seed.coat
AT2G06040	chalazal.seed.coat
AT5G45690	chalazal.seed.coat
AT4G26890	chalazal.seed.coat
AT3G13370	chalazal.seed.coat
AT3G54570	chalazal.seed.coat
AT1G09080	chalazal.seed.coat
AT1G50650	chalazal.seed.coat
AT3G17170	chalazal.seed.coat
AT2G21820	chalazal.seed.coat
AT4G31900	chalazal.seed.coat
AT1G29110	chalazal.seed.coat
AT4G13060	chalazal.seed.coat
AT2G42090	chalazal.seed.coat
AT2G30730	chalazal.seed.coat
AT5G26120	chalazal.seed.coat
AT1G71250	chalazal.seed.coat
AT4G15755	chalazal.seed.coat
AT1G18530	chalazal.seed.coat
AT5G33340	chalazal.seed.coat
AT5G19700	chalazal.seed.coat
AT5G12460	chalazal.seed.coat
AT3G25750	chalazal.seed.coat
AT4G21020	chalazal.seed.coat
AT1G25410	chalazal.seed.coat
AT3G60650	chalazal.seed.coat
AT5G58840	chalazal.seed.coat
AT5G24510	chalazal.seed.coat
AT4G33310	chalazal.seed.coat
AT3G04660	chalazal.seed.coat
AT2G03190	chalazal.seed.coat
AT5G06080	chalazal.seed.coat
AT3G03240	chalazal.seed.coat
AT3G24220	chalazal.seed.coat
AT1G76290	chalazal.seed.coat
AT1G67220	chalazal.seed.coat
AT1G23270	chalazal.seed.coat
AT3G49660	chalazal.seed.coat
AT4G34330	chalazal.seed.coat
AT4G03620	chalazal.seed.coat
AT5G07200	chalazal.seed.coat
AT2G23740	chalazal.seed.coat
AT3G25280	chalazal.seed.coat
AT1G09930	chalazal.seed.coat
AT1G72410	chalazal.seed.coat
AT2G42560	chalazal.seed.coat
AT1G47810	chalazal.seed.coat
AT1G04840	chalazal.seed.coat
AT3G10590	chalazal.seed.coat
AT2G24810	chalazal.seed.coat
AT3G05860	chalazal.seed.coat
AT4G37950	chalazal.seed.coat
AT5G62800	chalazal.seed.coat
AT5G27810	chalazal.seed.coat
AT4G05630	chalazal.seed.coat
AT2G40310	chalazal.seed.coat
AT3G01570	chalazal.seed.coat
AT4G38760	chalazal.seed.coat
AT4G13700	chalazal.seed.coat
AT3G24060	chalazal.seed.coat
AT5G40420	chalazal.seed.coat
AT5G11220	chalazal.seed.coat
AT1G73190	chalazal.seed.coat
AT2G31250	chalazal.seed.coat
AT1G34650	chalazal.seed.coat
AT3G58450	chalazal.seed.coat
AT4G22400	chalazal.seed.coat
AT1G34245	chalazal.seed.coat
AT1G28300	chalazal.seed.coat
AT1G77780	chalazal.seed.coat
AT5G65820	chalazal.seed.coat
AT1G51290	chalazal.seed.coat
AT1G16770	chalazal.seed.coat
AT2G47430	chalazal.seed.coat
AT2G21110	chalazal.seed.coat
AT1G13200	chalazal.seed.coat
AT5G07400	chalazal.seed.coat
AT4G22430	chalazal.seed.coat
AT5G16430	chalazal.seed.coat
AT3G03260	chalazal.seed.coat
AT5G58820	chalazal.seed.coat
AT5G63340	chalazal.seed.coat
AT3G06000	chalazal.seed.coat
AT5G55240	chalazal.seed.coat
AT3G04250	chalazal.seed.coat
AT2G33490	chalazal.seed.coat
AT2G17470	chalazal.seed.coat
AT1G59800	chalazal.seed.coat
AT1G72000	chalazal.seed.coat
AT3G21860	chalazal.seed.coat
AT5G46040	chalazal.seed.coat
AT2G32050	chalazal.seed.coat
AT2G23210	chalazal.seed.coat
AT3G46860	chalazal.seed.coat
AT4G27150	chalazal.seed.coat
AT4G39420	chalazal.seed.coat
AT3G63330	chalazal.seed.coat
AT1G50080	chalazal.seed.coat
AT1G06225	chalazal.seed.coat
AT1G12030	chalazal.seed.coat
AT5G09640	chalazal.seed.coat
AT4G31830	chalazal.seed.coat
AT3G58210	chalazal.seed.coat
AT1G28640	chalazal.seed.coat
AT5G07330	chalazal.seed.coat
